"thumbnail_s3_url","desc_style"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/iskw_ntm/DABIk7KvYX1.jpg,"[""#ootd""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/iskw_ntm/DEha8fVPxVx.jpg,"[""#ootd""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/seo0625/DBbjANASzRb.jpg,"[""#ootd""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/withthreekitties/C_ksIGoPtjs.jpg,"[""#데일리룩"", ""#daily"", ""#ootd""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/withthreekitties/C_qScYiPoY1.jpg,"[""#데일리룩"", ""#daily"", ""#ootd""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/flow_yumi/DBA1afxv6uE.jpg,"[""#겨울룩"", ""#데일리코디"", ""#겨울코디"", ""#파리룩"", ""#ootd""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/_minseoup/DC0IoUMzRJS.jpg,"[""#ootddaily""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/flow_yumi/DBGMujMRsW_.jpg,"[""#무스탕코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/sylvia.ahn/DC75fO6TukC.jpg,"[""#daily"", ""#koreanstyle"", ""#ootd""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/sylvia.ahn/DBD_l-hTE0E.jpg,"[""#데일리룩"", ""#daily"", ""#koreanstyle"", ""#오오티디"", ""#ootd""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/sylvia.ahn/DDMOlQuzpmJ.jpg,"[""#daily"", ""#koreanstyle"", ""#ootd""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/0720_b/DDB0FMeSTnF.jpg,"[""#어그부츠코디"", ""#퍼자켓코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/__editgram/DGA8w_2v2Lv.jpg,"[""#가디건코디"", ""#겨울코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/__editgram/DFxcmk3v4Gf.jpg,"[""#블랙코디"", ""#도트코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/0720_b/DEZb76Lyf5b.jpg,"[""#롱코트코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/_mini_mming/DDEejEivxM4.jpg,"[""#패션그램"", ""#패션코디"", ""#겨울여성코디"", ""#패션소통""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/0720_b/DCMZHqNShmr.jpg,"[""#로퍼코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/_mini_mming/DAfvSlionVf.jpg,"[""#여자가을코디추천""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/iamcorn_/DCQRjtxz7dT.jpg,"[""#샤넬패션""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/flow_yumi/DBN5MLrP0rV.jpg,"[""#데일리코디"", ""#데일리""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/naeun.yoo/DBT9ONETHR7.jpg,"[""#데일리안경""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/lloollloooo/C_g_2p7yXJV.jpg,"[""#패션스타그램""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/lo.oo_y/DB8uV2hyB76.jpg,"[""#가을코디"", ""#청스커트코디"", ""#가을룩""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/lo.oo_y/DBv3f8lyFkV.jpg,"[""#가을코디"", ""#셋업코디"", ""#가을룩""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/lo.oo_y/DCOucydScwC.jpg,"[""#패딩코디"", ""#겨울코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/lo.oo_y/C_xvPnpyvdP.jpg,"[""#가을코디"", ""#롱부츠코디"", ""#가을룩"", ""#부츠코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/lo.oo_y/DF-QEhlSZUr.jpg,"[""#반팔니트코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/lo.oo_y/DFxh4WWSJs5.jpg,"[""#데일리스니커즈"", ""#운동화코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/lo.oo_y/DF0AM2Sy41Q.jpg,"[""#데일리볼캡"", ""#볼캡코디"", ""#유룩"", ""#유룩볼캡""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/lo.oo_y/DErpCEeSD4c.jpg,"[""#캐주얼룩""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/uvlye/DFuxS2tSNP4.jpg,"[""#londonfashion"", ""#ukfashion"", ""#britishfashion"", ""#londonstyle"", ""#영국패션"", ""#londonstreetstyle"", ""#런던스트릿패션"", ""#런던패션"", ""#스트릿룩"", ""#패션디자이너""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/lo.oo_y/DEueW-kSL-h.jpg,"[""#니트코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/april____summer/DAnpKwqvffE.jpg,"[""#데일리"", ""#고프코어룩""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/april____summer/DFeiTA9vkXe.jpg,"[""#데일리패션"", ""#연휴룩"", ""#데일리""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/april____summer/DFxjDGyPhEC.jpg,"[""#fashionlove"", ""#선글라스코디"", ""#겨울코디그램"", ""#fashionista"", ""#koreanfashion"", ""#겨울코디"", ""#비니코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/april____summer/DCO0IU-vzNg.jpg,"[""#겨울룩"", ""#겨울룩코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/april____summer/DB-0_4yv4Wm.jpg,"[""#머플러코디"", ""#겨울코디"", ""#목도리코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/flow_yumi/C_w6En8vt48.jpg,"[""#가을코디"", ""#코디룩""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/hyeon__jj00n_/DAnX-7FyKqr.jpg,"[""#가을코디"", ""#청치마코디"", ""#반팔티코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/been_____i/DGb8TiMzdxg.jpg,"[""#데일리룩""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/raemontea/DDQ77FjJEn0.jpg,"[""#어그부츠코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/flow_yumi/C_W5rc4Pe3a.jpg,"[""#데일리코디"", ""#페미닌룩"", ""#주말룩"", ""#스타일"", ""#코디룩"", ""#데일리""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/chaexxhee/DBQ5oyVT1yK.jpg,"[""#가을코디"", ""#하객룩""]"
